,Question,Answer
,Provide Company Purpose,"We would summarise our purpose as: 

Adding value to — and continuously striving to be better in — everything we do, underpinned by the principle of purpose beyond profit.

We use the Onepoint DNA Wheel diagram to encapsulate our mission, purpose, and values. Please refer to page 15 of ""03 Onepoint - Company Profile.pdf"", which has been uploaded to Zycus"
,Provide Company Mission,"Our mission is to enable transformational business outcomes for clients by delivering enterprise-grade digital and data expertise, solutions, and support through relationships of integrity. We strive to be a force for good in the world and make a positive impact on the lives of our people and all our stakeholders.

We use the Onepoint DNA Wheel diagram to encapsulate our mission, purpose, and values. Please refer to page 15 of ""03 Onepoint - Company Profile.pdf"" which has been uploaded to Zycus.
"
,Provide Company Values,"Our core values are encapsulated in the Onepoint DNA Wheel diagram. Please refer to page 15 of ""03 Onepoint - Company Profile.pdf"" which has been uploaded to Zycus.
"
,What do you consider to be your Company's unique strengths? How can these strengths provide the best services for CBRE?,"Through testimonials and feedback from clients, we have found that enterprise clients like CBRE value five key aspects of Onepoint:
1. Enterprise-grade, yet boutique — Finding smaller, agile suppliers that can effectively operate within an enterprise context, bring innovative ideas, collaborate with much larger suppliers, and maintain a steadfast focus on delivering digital business outcomes of the enterprise can be challenging for companies like CBRE.
2. Unrelenting focus on delivering value — ‘Delivering value in everything we do’ is a foundational principle of Onepoint. We incorporate this into every aspect of the Onepoint business, from our commercial propositions to our approaches and methods. 
3. ‘A’ team every time — Unlike larger suppliers, Onepoint’s highly-experienced and close-knit team means that your core team from Onepoint is involved from sales through to delivery. We do not believe in ‘bait and switch’ practices
4. Relationships of trust — A driving principle of Onepoint is to deliver value in everything we do. By leveraging our unique combination of human, business, and technical expertise, we establish relationships of trust with clients like CBRE. 
5. Purpose beyond profit — Unlike many organisations that use purpose as a public relations or box-ticking exercise, Onepoint was built-on social good and ethics from its first day of existence.
Our founding team met through charity projects they worked on together. They decided to build a different kind of technology consultancy that had social responsibility at its core. 
Onepoint’s active involvement in charitable causes and societal good enhances the company’s employer brand, allowing us to attract and retain talent in highly competitive fields of digital, data, analytics, and advanced technology."
,What differentiates you from your competitors?,"Please enter less than 2000 characters We believe that our unique strengths — as described in our answer to question 1.4 — are also our competitive differentiators. 

Our five key strengths (or superpowers) are: 1) Enterprise-grade, yet boutique; 2) unrelenting focus on delivering value; 3) ‘A’ team every time; 4) relationships of trust; and 5) purpose beyond profit. 

In a field where most competitor organisations attempt to differentiate themselves through similar messaging, we believe that our unique strengths set us apart."
,"Describe your company structure by providing details of ownership and structure of your organization (listing parent company, agent relationships, affiliates, partnerships, joint ventures, etc.):","Established 2005, Onepoint Consulting Ltd is a certified UK ethnic minority business wholly-owned by Founder & CEO, Mr. Shashin Shah.

Onepoint UK’s registered office and headquarters is in London, UK. A regional office opened in Manchester in February 2023. 

Onepoint IT Consulting Pvt Ltd, an entity registered in India, is a wholly owned subsidiary of the UK parent company Onepoint Consulting Ltd. The India office is located in the technology hub of Pune. 

Onepoint has formal and strategic partnerships with technology solution providers, including Boomi and Quickbase. Onepoint is also a partner of Snowflake, which is a key solution component at CBRE. We are highly experienced and credentialed in Microsoft Azure and Amazon Web Services, although formal partnerships are in early stages of development.

We are a certified ethnic minority business and member of MSDUK. We are also a member of techUK, the UK digital technology trade organisation. 
We do not have agent relationships, affiliates, or joint ventures."
,"Is your company a part of, or affiliated with, any other company?",No
,"If yes, please describe the relationship.",Not applicable
,"List any existing agreements you have in place with CBRE with spend details. If agreements in place, please provide a copy if available.",None
,List any non-compete agreements with regards to certain clients and sectors that will impact your ability to perform potential project work for CBRE clients,None
,CBRE will require a single point of contact to represent all matters between your company and CBRE. Please confirm this requirement as part of this bid and provide roles and responsibilities for each region.,"The single point of contact (for all regions) is:

Shashin Shah Founder & CEO 

+44 7801 495 737 | shashin@onepointltd.com | onepointltd.com"
,What type of work or service is typically performed by the Management Staff who are direct employees of your company?,"Capabilities and activities by management staff that are client delivery focused include: Technology Architecture and Delivery, Project Management, Account Management, Partner Management, Managed Services Management, Information Security and Service Delivery, and Quality Assurance.

Capabilities and activities by management staff that are primarily internally-focused include: Business Strategy, Governance, Talent Management, Business Development, Finance, and Information Governance and Risk."
,Who are your two (2) largest competitors?,"The nearest competitors that we have come across in the scope covered by the CBRE RFP are NeosAlpha and Datalytyx. As far as larger competitors, we have won work in procurement exercises against many larger systems integrators and consultancies, including Deloitte, Sapient, Virtusa, and Wipro. We do not consider any one (or two) of them to be our direct competitors on every opportunity we pursue.

We have competed against — and collaborated with — most organisations on digital client projects, including Accenture, ANDigital, Deloitte, EY, IBM, Infosys, KPMG, Tech Mahindra, TCS, Wipro and various innovation agencies."
,What separates your company from your competitors in question 1.15?,"We believe that our unique strengths — as described in our answer to question 1.4 — are also our competitive differentiators. 

Our five key strengths (or superpowers) are: 1) Enterprise-grade, yet boutique; 2) unrelenting focus on delivering value; 3) ‘A’ team every time; 4) relationships of trust; and 5) purpose beyond profit. 

In a field where most competitor organisations attempt to differentiate themselves through similar messaging, we believe that our unique strengths — and our authentic focus on delivering superior value to clients and continually striving to improve how we do that — set us apart."
,What are your company's biggest weaknesses?,"Onepoint has a long-track record of delivering successful outcomes to global enterprise clients on enterprise-grade, transformational initiatives. Small and medium sized businesses (SMBs) can face challenges when competing for opportunities for enterprise-scale work. Onepoint has overcome these potential weaknesses by:
- Defining and applying approaches and methods to de-risk the decision to choose us;

- Building a track record of successful delivery to FTSE 100 / Fortune 500 / Global 1000 enterprises, including testimonials and references; 

- Forming strong partner relationships and consistently demonstrating the ability to quickly learn and innovate with new technologies; and 

- Rapidly scaling up our team to deliver to client needs by attracting talent through a focus on developing an attractive employee value proposition and employer brand.

Onepint has a strong bias to delivery excellence. This means much of our organisational DNA is geared to delivery rather than business development. This reduced sales focus can be a weakness when establishing formal partnerships with large technology platforms, such as Microsoft Azure and Amazon Web Services. Although we are highly experienced and have delivered exceptional outcomes for clients on these platforms, the inability to meet onerous demands of new sales / net new revenue placed by these vendors can be a weakness for a boutique consultancy such as Onepoint."
